indice_tiempo,region_de_destino,categoria_del_hotel,facturacion_total_en_pesos,observaciones
2012-04,Litoral,3 estrellas/boutiques/aparts,24059159,
2012-04,Litoral,4 y 5 estrellas,55058524,
2012-04,Litoral,Para Hoteles,13337256,
2012-04,Norte,1 y 2 estrellas,6221736,
2012-04,Norte,3 estrellas/boutiques/aparts,19277460,
2012-04,Norte,4 y 5 estrellas,31985278,
2012-04,Norte,Para Hoteles,8036899,
2012-04,Patagonia,1 y 2 estrellas,9354448,
2012-04,Patagonia,3 estrellas/boutiques/aparts,27916572,
2012-04,Patagonia,4 y 5 estrellas,38068121,
2012-04,Patagonia,Para Hoteles,15874749,
2012-05,Buenos Aires,1 y 2 estrellas,4640954,
2012-05,Buenos Aires,3 estrellas/boutiques/aparts,11662286,
2012-05,Buenos Aires,4 y 5 estrellas,12157859,
2012-05,Buenos Aires,Para Hoteles,13396218,
2012-05,CABA,1 y 2 estrellas,11792499,
2012-05,CABA,3 estrellas/boutiques/aparts,54399167,
2012-05,CABA,4 y 5 estrellas,190241652,
2012-05,CABA,Para Hoteles,10126819,
2012-05,Córdoba,1 y 2 estrellas,12668228,
2012-05,Córdoba,3 estrellas/boutiques/aparts,16290516,
2012-05,Córdoba,4 y 5 estrellas,12499687,
2012-05,Córdoba,Para Hoteles,6369733,
2012-05,Cuyo,1 y 2 estrellas,6125797,
2012-05,Cuyo,3 estrellas/boutiques/aparts,16944690,
2012-05,Cuyo,4 y 5 estrellas,42953355,
2012-05,Cuyo,Para Hoteles,3069680,
2012-05,Litoral,1 y 2 estrellas,5564956,
2012-05,Litoral,3 estrellas/boutiques/aparts,22458137,
2012-05,Litoral,4 y 5 estrellas,45799018,
2012-05,Litoral,Para Hoteles,9461924,
2012-05,Norte,1 y 2 estrellas,5360549,
2012-05,Norte,3 estrellas/boutiques/aparts,17392057,
2012-05,Norte,4 y 5 estrellas,30417481,
2012-05,Norte,Para Hoteles,6621423,
2012-05,Patagonia,1 y 2 estrellas,9162015,
2012-05,Patagonia,3 estrellas/boutiques/aparts,19427413,
2012-05,Patagonia,4 y 5 estrellas,22531371,
2012-05,Patagonia,Para Hoteles,8065143,
2012-06,Buenos Aires,1 y 2 estrellas,4340683,
2012-06,Buenos Aires,3 estrellas/boutiques/aparts,9184492,
2012-06,Buenos Aires,4 y 5 estrellas,9313558,
2012-06,Buenos Aires,Para Hoteles,8600561,
2012-06,CABA,1 y 2 estrellas,12739261,
2012-06,CABA,3 estrellas/boutiques/aparts,53793321,
2012-06,CABA,4 y 5 estrellas,176819999,
2012-06,CABA,Para Hoteles,9907924,
2012-06,Córdoba,1 y 2 estrellas,6501894,
2012-06,Córdoba,3 estrellas/boutiques/aparts,12293932,
2012-06,Córdoba,4 y 5 estrellas,10817814,
2012-06,Córdoba,Para Hoteles,3451728,
2012-06,Cuyo,1 y 2 estrellas,5341989,
2012-06,Cuyo,3 estrellas/boutiques/aparts,16097276,
2012-06,Cuyo,4 y 5 estrellas,52128237,
2012-06,Cuyo,Para Hoteles,2695428,
2012-06,Litoral,1 y 2 estrellas,5601206,
2012-06,Litoral,3 estrellas/boutiques/aparts,23330582,
2012-06,Litoral,4 y 5 estrellas,45091917,
2012-06,Litoral,Para Hoteles,7401246,
2012-06,Norte,1 y 2 estrellas,6890023,
2012-06,Norte,3 estrellas/boutiques/aparts,17502528,
2012-06,Norte,4 y 5 estrellas,29794916,
2012-06,Norte,Para Hoteles,5298151,
2012-06,Patagonia,1 y 2 estrellas,9012337,
2012-06,Patagonia,3 estrellas/boutiques/aparts,22664980,
2012-06,Patagonia,4 y 5 estrellas,28752203,
2012-06,Patagonia,Para Hoteles,7093932,
2012-07,Buenos Aires,1 y 2 estrellas,6009547,
2012-07,Buenos Aires,3 estrellas/boutiques/aparts,22075004,
2012-07,Buenos Aires,4 y 5 estrellas,17885468,
2012-07,Buenos Aires,Para Hoteles,17151101,
2012-07,CABA,1 y 2 estrellas,16641139,
2012-07,CABA,3 estrellas/boutiques/aparts,68900727,
2012-07,CABA,4 y 5 estrellas,181325292,
2012-07,CABA,Para Hoteles,12393653,
2012-07,Córdoba,1 y 2 estrellas,11292968,
2012-07,Córdoba,3 estrellas/boutiques/aparts,21588654,
2012-07,Córdoba,4 y 5 estrellas,17934302,
2012-07,Córdoba,Para Hoteles,18136154,
2012-07,Cuyo,1 y 2 estrellas,8904216,
2012-07,Cuyo,3 estrellas/boutiques/aparts,24982202,
2012-07,Cuyo,4 y 5 estrellas,96118437,
2012-07,Cuyo,Para Hoteles,5782519,
2012-07,Litoral,1 y 2 estrellas,6884102,
2012-07,Litoral,3 estrellas/boutiques/aparts,29621347,
2012-07,Litoral,4 y 5 estrellas,62411122,
2012-07,Litoral,Para Hoteles,12040323,
2012-07,Norte,1 y 2 estrellas,15485875,
2012-07,Norte,3 estrellas/boutiques/aparts,36808612,
2012-07,Norte,4 y 5 estrellas,48183723,
2012-07,Norte,Para Hoteles,12888378,
2012-07,Patagonia,1 y 2 estrellas,22787354,
2012-07,Patagonia,3 estrellas/boutiques/aparts,50650801,
2012-07,Patagonia,4 y 5 estrellas,83541104,
2012-07,Patagonia,Para Hoteles,27176360,
2012-08,Buenos Aires,1 y 2 estrellas,4583931,
2012-08,Buenos Aires,3 estrellas/boutiques/aparts,14662697,
2012-08,Buenos Aires,4 y 5 estrellas,15754809,
2012-08,Buenos Aires,Para Hoteles,12861274,
2012-08,CABA,1 y 2 estrellas,15294242,
2012-08,CABA,3 estrellas/boutiques/aparts,60573322,
2012-08,CABA,4 y 5 estrellas,185875123,
2012-08,CABA,Para Hoteles,10198535,
2012-08,Córdoba,1 y 2 estrellas,7682981,
2012-08,Córdoba,3 estrellas/boutiques/aparts,16521949,
2012-08,Córdoba,4 y 5 estrellas,13413824,
2012-08,Córdoba,Para Hoteles,7344980,
2012-08,Cuyo,1 y 2 estrellas,6796944,
2012-08,Cuyo,3 estrellas/boutiques/aparts,21569700,
2012-08,Cuyo,4 y 5 estrellas,68863637,
2012-08,Cuyo,Para Hoteles,3824761,
2012-08,Litoral,1 y 2 estrellas,7285201,
2012-08,Litoral,3 estrellas/boutiques/aparts,27409049,
2012-08,Litoral,4 y 5 estrellas,58530502,
2012-08,Litoral,Para Hoteles,9232883,
2012-08,Norte,1 y 2 estrellas,11888186,
2012-08,Norte,3 estrellas/boutiques/aparts,26258134,
2012-08,Norte,4 y 5 estrellas,33897395,
2012-08,Norte,Para Hoteles,8147343,
2012-08,Patagonia,1 y 2 estrellas,19553146,
2012-08,Patagonia,3 estrellas/boutiques/aparts,45276895,
2012-08,Patagonia,4 y 5 estrellas,60135002,
2012-08,Patagonia,Para Hoteles,21299300,
2012-09,Buenos Aires,1 y 2 estrellas,5232468,
2012-09,Buenos Aires,3 estrellas/boutiques/aparts,20557227,
2012-09,Buenos Aires,4 y 5 estrellas,20307906,
2012-09,Buenos Aires,Para Hoteles,15340311,
2012-09,CABA,1 y 2 estrellas,14520272,
2012-09,CABA,3 estrellas/boutiques/aparts,63079028,
2012-09,CABA,4 y 5 estrellas,194342959,
2012-09,CABA,Para Hoteles,10610776,
2012-09,Córdoba,1 y 2 estrellas,8313323,
2012-09,Córdoba,3 estrellas/boutiques/aparts,15182156,
2012-09,Córdoba,4 y 5 estrellas,15110919,
