indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2013-07,Patagonia,3 estrellas/boutiques/aparts,2400,
2013-07,Patagonia,4 y 5 estrellas,2962,
2013-07,Patagonia,Para Hoteles,2047,
2013-08,Buenos Aires,1 y 2 estrellas,713,
2013-08,Buenos Aires,3 estrellas/boutiques/aparts,1508,
2013-08,Buenos Aires,4 y 5 estrellas,1269,
2013-08,Buenos Aires,Para Hoteles,1605,
2013-08,CABA,1 y 2 estrellas,927,
2013-08,CABA,3 estrellas/boutiques/aparts,3472,
2013-08,CABA,4 y 5 estrellas,8086,
2013-08,CABA,Para Hoteles,1391,
2013-08,Córdoba,1 y 2 estrellas,878,
2013-08,Córdoba,3 estrellas/boutiques/aparts,1330,
2013-08,Córdoba,4 y 5 estrellas,853,
2013-08,Córdoba,Para Hoteles,1524,
2013-08,Cuyo,1 y 2 estrellas,991,
2013-08,Cuyo,3 estrellas/boutiques/aparts,1937,
2013-08,Cuyo,4 y 5 estrellas,2772,
2013-08,Cuyo,Para Hoteles,712,
2013-08,Litoral,1 y 2 estrellas,865,
2013-08,Litoral,3 estrellas/boutiques/aparts,1719,
2013-08,Litoral,4 y 5 estrellas,3351,
2013-08,Litoral,Para Hoteles,1074,
2013-08,Norte,1 y 2 estrellas,1053,
2013-08,Norte,3 estrellas/boutiques/aparts,2003,
2013-08,Norte,4 y 5 estrellas,2006,
2013-08,Norte,Para Hoteles,1190,
2013-08,Patagonia,1 y 2 estrellas,1990,
2013-08,Patagonia,3 estrellas/boutiques/aparts,2342,
2013-08,Patagonia,4 y 5 estrellas,3038,
2013-08,Patagonia,Para Hoteles,1915,
2013-09,Buenos Aires,1 y 2 estrellas,707,
2013-09,Buenos Aires,3 estrellas/boutiques/aparts,1502,
2013-09,Buenos Aires,4 y 5 estrellas,1351,
2013-09,Buenos Aires,Para Hoteles,1591,
2013-09,CABA,1 y 2 estrellas,916,
2013-09,CABA,3 estrellas/boutiques/aparts,3475,
2013-09,CABA,4 y 5 estrellas,8234,
2013-09,CABA,Para Hoteles,1445,
2013-09,Córdoba,1 y 2 estrellas,1025,
2013-09,Córdoba,3 estrellas/boutiques/aparts,1246,
2013-09,Córdoba,4 y 5 estrellas,917,
2013-09,Córdoba,Para Hoteles,1509,
2013-09,Cuyo,1 y 2 estrellas,990,
2013-09,Cuyo,3 estrellas/boutiques/aparts,1902,
2013-09,Cuyo,4 y 5 estrellas,2608,
2013-09,Cuyo,Para Hoteles,737,
2013-09,Litoral,1 y 2 estrellas,859,
2013-09,Litoral,3 estrellas/boutiques/aparts,1719,
2013-09,Litoral,4 y 5 estrellas,3445,
2013-09,Litoral,Para Hoteles,1048,
2013-09,Norte,1 y 2 estrellas,1073,
2013-09,Norte,3 estrellas/boutiques/aparts,2135,
2013-09,Norte,4 y 5 estrellas,2010,
2013-09,Norte,Para Hoteles,1228,
2013-09,Patagonia,1 y 2 estrellas,2086,
2013-09,Patagonia,3 estrellas/boutiques/aparts,2287,
2013-09,Patagonia,4 y 5 estrellas,3108,
2013-09,Patagonia,Para Hoteles,1913,
2013-10,Buenos Aires,1 y 2 estrellas,808,
2013-10,Buenos Aires,3 estrellas/boutiques/aparts,1704,
2013-10,Buenos Aires,4 y 5 estrellas,1353,
2013-10,Buenos Aires,Para Hoteles,1740,
2013-10,CABA,1 y 2 estrellas,909,
2013-10,CABA,3 estrellas/boutiques/aparts,3488,
2013-10,CABA,4 y 5 estrellas,8193,
2013-10,CABA,Para Hoteles,1459,
2013-10,Córdoba,1 y 2 estrellas,1085,
2013-10,Córdoba,3 estrellas/boutiques/aparts,1289,
2013-10,Córdoba,4 y 5 estrellas,853,
2013-10,Córdoba,Para Hoteles,1658,
2013-10,Cuyo,1 y 2 estrellas,967,
2013-10,Cuyo,3 estrellas/boutiques/aparts,1812,
2013-10,Cuyo,4 y 5 estrellas,2526,
2013-10,Cuyo,Para Hoteles,726,
2013-10,Litoral,1 y 2 estrellas,831,
2013-10,Litoral,3 estrellas/boutiques/aparts,1774,
2013-10,Litoral,4 y 5 estrellas,3735,
2013-10,Litoral,Para Hoteles,1054,
2013-10,Norte,1 y 2 estrellas,805,
2013-10,Norte,3 estrellas/boutiques/aparts,1804,
2013-10,Norte,4 y 5 estrellas,1952,
2013-10,Norte,Para Hoteles,1133,
2013-10,Patagonia,1 y 2 estrellas,1788,
2013-10,Patagonia,3 estrellas/boutiques/aparts,2281,
2013-10,Patagonia,4 y 5 estrellas,2924,
2013-10,Patagonia,Para Hoteles,1833,
2013-11,Buenos Aires,1 y 2 estrellas,887,
2013-11,Buenos Aires,3 estrellas/boutiques/aparts,1867,
2013-11,Buenos Aires,4 y 5 estrellas,1498,
2013-11,Buenos Aires,Para Hoteles,1853,
2013-11,CABA,1 y 2 estrellas,929,
2013-11,CABA,3 estrellas/boutiques/aparts,3543,
2013-11,CABA,4 y 5 estrellas,8491,
2013-11,CABA,Para Hoteles,1456,
2013-11,Córdoba,1 y 2 estrellas,1077,
2013-11,Córdoba,3 estrellas/boutiques/aparts,1198,
2013-11,Córdoba,4 y 5 estrellas,847,
2013-11,Córdoba,Para Hoteles,1597,
2013-11,Cuyo,1 y 2 estrellas,1043,
2013-11,Cuyo,3 estrellas/boutiques/aparts,1867,
2013-11,Cuyo,4 y 5 estrellas,2508,
2013-11,Cuyo,Para Hoteles,745,
2013-11,Litoral,1 y 2 estrellas,844,
2013-11,Litoral,3 estrellas/boutiques/aparts,1869,
2013-11,Litoral,4 y 5 estrellas,3680,
2013-11,Litoral,Para Hoteles,1076,
2013-11,Norte,1 y 2 estrellas,772,
2013-11,Norte,3 estrellas/boutiques/aparts,1742,
2013-11,Norte,4 y 5 estrellas,1989,
2013-11,Norte,Para Hoteles,1170,
2013-11,Patagonia,1 y 2 estrellas,1709,
2013-11,Patagonia,3 estrellas/boutiques/aparts,2325,
2013-11,Patagonia,4 y 5 estrellas,2879,
2013-11,Patagonia,Para Hoteles,1970,
2013-12,Buenos Aires,1 y 2 estrellas,1073,
2013-12,Buenos Aires,3 estrellas/boutiques/aparts,2385,
2013-12,Buenos Aires,4 y 5 estrellas,1684,
2013-12,Buenos Aires,Para Hoteles,2300,
2013-12,CABA,1 y 2 estrellas,897,
2013-12,CABA,3 estrellas/boutiques/aparts,3491,
2013-12,CABA,4 y 5 estrellas,8340,
2013-12,CABA,Para Hoteles,1438,
2013-12,Córdoba,1 y 2 estrellas,1078,
2013-12,Córdoba,3 estrellas/boutiques/aparts,1221,
2013-12,Córdoba,4 y 5 estrellas,876,
2013-12,Córdoba,Para Hoteles,1584,
2013-12,Cuyo,1 y 2 estrellas,953,
2013-12,Cuyo,3 estrellas/boutiques/aparts,1791,
2013-12,Cuyo,4 y 5 estrellas,2466,
2013-12,Cuyo,Para Hoteles,719,
2013-12,Litoral,1 y 2 estrellas,796,
2013-12,Litoral,3 estrellas/boutiques/aparts,1765,
2013-12,Litoral,4 y 5 estrellas,3428,
2013-12,Litoral,Para Hoteles,1014,
2013-12,Norte,1 y 2 estrellas,679,
2013-12,Norte,3 estrellas/boutiques/aparts,1745,
2013-12,Norte,4 y 5 estrellas,1726,
2013-12,Norte,Para Hoteles,994,
2013-12,Patagonia,1 y 2 estrellas,1857,
2013-12,Patagonia,3 estrellas/boutiques/aparts,2452,
2013-12,Patagonia,4 y 5 estrellas,2939,
2013-12,Patagonia,Para Hoteles,2090,
2014-01,Buenos Aires,1 y 2 estrellas,2389,
2014-01,Buenos Aires,3 estrellas/boutiques/aparts,3046,
2014-01,Buenos Aires,4 y 5 estrellas,2061,
2014-01,Buenos Aires,Para Hoteles,3780,
2014-01,CABA,1 y 2 estrellas,937,
2014-01,CABA,3 estrellas/boutiques/aparts,3486,
2014-01,CABA,4 y 5 estrellas,8226,
2014-01,CABA,Para Hoteles,1433,
2014-01,Córdoba,1 y 2 estrellas,1431,
2014-01,Córdoba,3 estrellas/boutiques/aparts,1384,
2014-01,Córdoba,4 y 5 estrellas,926,
2014-01,Córdoba,Para Hoteles,2365,
2014-01,Cuyo,1 y 2 estrellas,1026,
2014-01,Cuyo,3 estrellas/boutiques/aparts,1899,
2014-01,Cuyo,4 y 5 estrellas,2501,
2014-01,Cuyo,Para Hoteles,896,
2014-01,Litoral,1 y 2 estrellas,841,
2014-01,Litoral,3 estrellas/boutiques/aparts,1916,
2014-01,Litoral,4 y 5 estrellas,3816,
2014-01,Litoral,Para Hoteles,1351,
2014-01,Norte,1 y 2 estrellas,733,
2014-01,Norte,3 estrellas/boutiques/aparts,1653,
2014-01,Norte,4 y 5 estrellas,1791,
2014-01,Norte,Para Hoteles,1167,
2014-01,Patagonia,1 y 2 estrellas,1764,
2014-01,Patagonia,3 estrellas/boutiques/aparts,2836,
2014-01,Patagonia,4 y 5 estrellas,3409,
2014-01,Patagonia,Para Hoteles,2633,
2014-02,Buenos Aires,1 y 2 estrellas,2244,
2014-02,Buenos Aires,3 estrellas/boutiques/aparts,2861,
2014-02,Buenos Aires,4 y 5 estrellas,2027,
2014-02,Buenos Aires,Para Hoteles,3415,
2014-02,CABA,1 y 2 estrellas,926,
2014-02,CABA,3 estrellas/boutiques/aparts,3555,
2014-02,CABA,4 y 5 estrellas,8241,
2014-02,CABA,Para Hoteles,1468,
2014-02,Córdoba,1 y 2 estrellas,1377,
2014-02,Córdoba,3 estrellas/boutiques/aparts,1308,
2014-02,Córdoba,4 y 5 estrellas,927,
2014-02,Córdoba,Para Hoteles,2130,
2014-02,Cuyo,1 y 2 estrellas,1095,
2014-02,Cuyo,3 estrellas/boutiques/aparts,1847,
2014-02,Cuyo,4 y 5 estrellas,2670,
2014-02,Cuyo,Para Hoteles,902,
2014-02,Litoral,1 y 2 estrellas,892,
2014-02,Litoral,3 estrellas/boutiques/aparts,1838,
2014-02,Litoral,4 y 5 estrellas,3596,
2014-02,Litoral,Para Hoteles,1338,
2014-02,Norte,1 y 2 estrellas,766,
2014-02,Norte,3 estrellas/boutiques/aparts,1655,
2014-02,Norte,4 y 5 estrellas,1927,
2014-02,Norte,Para Hoteles,1153,
2014-02,Patagonia,1 y 2 estrellas,1773,
2014-02,Patagonia,3 estrellas/boutiques/aparts,3004,
2014-02,Patagonia,4 y 5 estrellas,3373,
2014-02,Patagonia,Para Hoteles,2620,
2014-03,Buenos Aires,1 y 2 estrellas,1260,
2014-03,Buenos Aires,3 estrellas/boutiques/aparts,2158,
2014-03,Buenos Aires,4 y 5 estrellas,1625,
2014-03,Buenos Aires,Para Hoteles,2479,
2014-03,CABA,1 y 2 estrellas,927,
2014-03,CABA,3 estrellas/boutiques/aparts,3454,
2014-03,CABA,4 y 5 estrellas,8407,
2014-03,CABA,Para Hoteles,1574,
2014-03,Córdoba,1 y 2 estrellas,1119,
2014-03,Córdoba,3 estrellas/boutiques/aparts,1268,
2014-03,Córdoba,4 y 5 estrellas,913,
2014-03,Córdoba,Para Hoteles,1780,
2014-03,Cuyo,1 y 2 estrellas,1118,
2014-03,Cuyo,3 estrellas/boutiques/aparts,1837,
2014-03,Cuyo,4 y 5 estrellas,2734,
2014-03,Cuyo,Para Hoteles,858,
2014-03,Litoral,1 y 2 estrellas,736,
2014-03,Litoral,3 estrellas/boutiques/aparts,2023,
2014-03,Litoral,4 y 5 estrellas,3723,
2014-03,Litoral,Para Hoteles,1293,
2014-03,Norte,1 y 2 estrellas,763,
2014-03,Norte,3 estrellas/boutiques/aparts,1704,
2014-03,Norte,4 y 5 estrellas,1837,
2014-03,Norte,Para Hoteles,1086,
2014-03,Patagonia,1 y 2 estrellas,1335,
2014-03,Patagonia,3 estrellas/boutiques/aparts,2685,
2014-03,Patagonia,4 y 5 estrellas,3143,
2014-03,Patagonia,Para Hoteles,2040,
2014-04,Buenos Aires,1 y 2 estrellas,801,
2014-04,Buenos Aires,3 estrellas/boutiques/aparts,1650,
2014-04,Buenos Aires,4 y 5 estrellas,1631,
2014-04,Buenos Aires,Para Hoteles,1897,
2014-04,CABA,1 y 2 estrellas,888,
2014-04,CABA,3 estrellas/boutiques/aparts,3440,
2014-04,CABA,4 y 5 estrellas,8316,
2014-04,CABA,Para Hoteles,1508,
2014-04,Córdoba,1 y 2 estrellas,1059,
2014-04,Córdoba,3 estrellas/boutiques/aparts,1201,
2014-04,Córdoba,4 y 5 estrellas,904,
2014-04,Córdoba,Para Hoteles,1719,
2014-04,Cuyo,1 y 2 estrellas,1091,
2014-04,Cuyo,3 estrellas/boutiques/aparts,1945,
2014-04,Cuyo,4 y 5 estrellas,2631,
2014-04,Cuyo,Para Hoteles,792,
2014-04,Litoral,1 y 2 estrellas,787,
2014-04,Litoral,3 estrellas/boutiques/aparts,1925,
2014-04,Litoral,4 y 5 estrellas,3568,
2014-04,Litoral,Para Hoteles,1228,
2014-04,Norte,1 y 2 estrellas,945,
2014-04,Norte,3 estrellas/boutiques/aparts,1736,
2014-04,Norte,4 y 5 estrellas,1942,
2014-04,Norte,Para Hoteles,1152,
2014-04,Patagonia,1 y 2 estrellas,1346,
2014-04,Patagonia,3 estrellas/boutiques/aparts,2428,
2014-04,Patagonia,4 y 5 estrellas,3099,
2014-04,Patagonia,Para Hoteles,1773,
2014-05,Buenos Aires,1 y 2 estrellas,587,
2014-05,Buenos Aires,3 estrellas/boutiques/aparts,1372,
2014-05,Buenos Aires,4 y 5 estrellas,1344,
2014-05,Buenos Aires,Para Hoteles,1679,
2014-05,CABA,1 y 2 estrellas,901,
2014-05,CABA,3 estrellas/boutiques/aparts,3468,
2014-05,CABA,4 y 5 estrellas,8310,
2014-05,CABA,Para Hoteles,1517,
2014-05,Córdoba,1 y 2 estrellas,954,
2014-05,Córdoba,3 estrellas/boutiques/aparts,1186,
2014-05,Córdoba,4 y 5 estrellas,893,
2014-05,Córdoba,Para Hoteles,1382,
2014-05,Cuyo,1 y 2 estrellas,1090,
2014-05,Cuyo,3 estrellas/boutiques/aparts,1699,
2014-05,Cuyo,4 y 5 estrellas,2615,
2014-05,Cuyo,Para Hoteles,731,
2014-05,Litoral,1 y 2 estrellas,788,
2014-05,Litoral,3 estrellas/boutiques/aparts,1874,
2014-05,Litoral,4 y 5 estrellas,3542,
2014-05,Litoral,Para Hoteles,1131,
2014-05,Norte,1 y 2 estrellas,1005,
2014-05,Norte,3 estrellas/boutiques/aparts,1651,
2014-05,Norte,4 y 5 estrellas,1951,
2014-05,Norte,Para Hoteles,1022,
2014-05,Patagonia,1 y 2 estrellas,1327,
2014-05,Patagonia,3 estrellas/boutiques/aparts,2062,
2014-05,Patagonia,4 y 5 estrellas,2712,
2014-05,Patagonia,Para Hoteles,1378,
2014-06,Buenos Aires,1 y 2 estrellas,588,
2014-06,Buenos Aires,3 estrellas/boutiques/aparts,1262,
2014-06,Buenos Aires,4 y 5 estrellas,1309,
2014-06,Buenos Aires,Para Hoteles,1313,
2014-06,CABA,1 y 2 estrellas,888,
2014-06,CABA,3 estrellas/boutiques/aparts,3508,
2014-06,CABA,4 y 5 estrellas,8283,
2014-06,CABA,Para Hoteles,1544,
2014-06,Córdoba,1 y 2 estrellas,862,
2014-06,Córdoba,3 estrellas/boutiques/aparts,1145,
2014-06,Córdoba,4 y 5 estrellas,905,
2014-06,Córdoba,Para Hoteles,1313,
2014-06,Cuyo,1 y 2 estrellas,1046,
2014-06,Cuyo,3 estrellas/boutiques/aparts,1850,
2014-06,Cuyo,4 y 5 estrellas,2556,
2014-06,Cuyo,Para Hoteles,746,
2014-06,Litoral,1 y 2 estrellas,770,
2014-06,Litoral,3 estrellas/boutiques/aparts,1916,
2014-06,Litoral,4 y 5 estrellas,3550,
2014-06,Litoral,Para Hoteles,1074,
2014-06,Norte,1 y 2 estrellas,1050,
2014-06,Norte,3 estrellas/boutiques/aparts,1882,
2014-06,Norte,4 y 5 estrellas,1901,
2014-06,Norte,Para Hoteles,1032,
2014-06,Patagonia,1 y 2 estrellas,1357,
2014-06,Patagonia,3 estrellas/boutiques/aparts,2274,
2014-06,Patagonia,4 y 5 estrellas,2907,
2014-06,Patagonia,Para Hoteles,1530,
2014-07,Buenos Aires,1 y 2 estrellas,662,
2014-07,Buenos Aires,3 estrellas/boutiques/aparts,1465,
2014-07,Buenos Aires,4 y 5 estrellas,1328,
2014-07,Buenos Aires,Para Hoteles,1393,
2014-07,CABA,1 y 2 estrellas,926,
2014-07,CABA,3 estrellas/boutiques/aparts,3560,
2014-07,CABA,4 y 5 estrellas,8216,
2014-07,CABA,Para Hoteles,1539,
2014-07,Córdoba,1 y 2 estrellas,1015,
2014-07,Córdoba,3 estrellas/boutiques/aparts,1274,
2014-07,Córdoba,4 y 5 estrellas,899,
2014-07,Córdoba,Para Hoteles,1663,
2014-07,Cuyo,1 y 2 estrellas,1080,
2014-07,Cuyo,3 estrellas/boutiques/aparts,1929,
2014-07,Cuyo,4 y 5 estrellas,2762,
2014-07,Cuyo,Para Hoteles,815,
2014-07,Litoral,1 y 2 estrellas,790,
2014-07,Litoral,3 estrellas/boutiques/aparts,1954,
2014-07,Litoral,4 y 5 estrellas,3523,
2014-07,Litoral,Para Hoteles,1129,
2014-07,Norte,1 y 2 estrellas,1210,
2014-07,Norte,3 estrellas/boutiques/aparts,1890,
2014-07,Norte,4 y 5 estrellas,1978,
2014-07,Norte,Para Hoteles,1335,
2014-07,Patagonia,1 y 2 estrellas,1762,
2014-07,Patagonia,3 estrellas/boutiques/aparts,2565,
2014-07,Patagonia,4 y 5 estrellas,3011,
2014-07,Patagonia,Para Hoteles,1997,
2014-08,Buenos Aires,1 y 2 estrellas,663,
2014-08,Buenos Aires,3 estrellas/boutiques/aparts,1430,
2014-08,Buenos Aires,4 y 5 estrellas,1383,
2014-08,Buenos Aires,Para Hoteles,1546,
2014-08,CABA,1 y 2 estrellas,942,
2014-08,CABA,3 estrellas/boutiques/aparts,3550,
2014-08,CABA,4 y 5 estrellas,8350,
2014-08,CABA,Para Hoteles,1452,
2014-08,Córdoba,1 y 2 estrellas,888,
2014-08,Córdoba,3 estrellas/boutiques/aparts,1215,
2014-08,Córdoba,4 y 5 estrellas,932,
2014-08,Córdoba,Para Hoteles,1370,
2014-08,Cuyo,1 y 2 estrellas,1035,
2014-08,Cuyo,3 estrellas/boutiques/aparts,1793,
2014-08,Cuyo,4 y 5 estrellas,2904,
2014-08,Cuyo,Para Hoteles,763,
2014-08,Litoral,1 y 2 estrellas,783,
2014-08,Litoral,3 estrellas/boutiques/aparts,1977,
2014-08,Litoral,4 y 5 estrellas,3525,
2014-08,Litoral,Para Hoteles,1180,
2014-08,Norte,1 y 2 estrellas,1151,
2014-08,Norte,3 estrellas/boutiques/aparts,1830,
2014-08,Norte,4 y 5 estrellas,1964,
2014-08,Norte,Para Hoteles,1138,
2014-08,Patagonia,1 y 2 estrellas,1843,
2014-08,Patagonia,3 estrellas/boutiques/aparts,2600,
2014-08,Patagonia,4 y 5 estrellas,3181,
2014-08,Patagonia,Para Hoteles,1955,
2014-09,Buenos Aires,1 y 2 estrellas,704,
2014-09,Buenos Aires,3 estrellas/boutiques/aparts,1441,
2014-09,Buenos Aires,4 y 5 estrellas,1420,
2014-09,Buenos Aires,Para Hoteles,1735,
2014-09,CABA,1 y 2 estrellas,913,
2014-09,CABA,3 estrellas/boutiques/aparts,3549,
2014-09,CABA,4 y 5 estrellas,8281,
2014-09,CABA,Para Hoteles,1462,
2014-09,Córdoba,1 y 2 estrellas,973,
2014-09,Córdoba,3 estrellas/boutiques/aparts,1188,
2014-09,Córdoba,4 y 5 estrellas,902,
2014-09,Córdoba,Para Hoteles,1277,
2014-09,Cuyo,1 y 2 estrellas,1006,
2014-09,Cuyo,3 estrellas/boutiques/aparts,1854,
2014-09,Cuyo,4 y 5 estrellas,2748,
2014-09,Cuyo,Para Hoteles,773,
2014-09,Litoral,1 y 2 estrellas,779,
2014-09,Litoral,3 estrellas/boutiques/aparts,1860,
2014-09,Litoral,4 y 5 estrellas,3573,
2014-09,Litoral,Para Hoteles,1127,
2014-09,Norte,1 y 2 estrellas,1099,
2014-09,Norte,3 estrellas/boutiques/aparts,1991,
2014-09,Norte,4 y 5 estrellas,1920,
2014-09,Norte,Para Hoteles,1022,
2014-09,Patagonia,1 y 2 estrellas,1920,
2014-09,Patagonia,3 estrellas/boutiques/aparts,2648,
2014-09,Patagonia,4 y 5 estrellas,3213,
2014-09,Patagonia,Para Hoteles,1829,
2014-10,Buenos Aires,1 y 2 estrellas,771,
2014-10,Buenos Aires,3 estrellas/boutiques/aparts,1618,
2014-10,Buenos Aires,4 y 5 estrellas,1521,
2014-10,Buenos Aires,Para Hoteles,1867,
2014-10,CABA,1 y 2 estrellas,920,
2014-10,CABA,3 estrellas/boutiques/aparts,3597,
2014-10,CABA,4 y 5 estrellas,8450,
2014-10,CABA,Para Hoteles,1474,
2014-10,Córdoba,1 y 2 estrellas,1045,
2014-10,Córdoba,3 estrellas/boutiques/aparts,1181,
2014-10,Córdoba,4 y 5 estrellas,920,
2014-10,Córdoba,Para Hoteles,1563,
2014-10,Cuyo,1 y 2 estrellas,1071,
2014-10,Cuyo,3 estrellas/boutiques/aparts,1948,
2014-10,Cuyo,4 y 5 estrellas,2717,
2014-10,Cuyo,Para Hoteles,776,
2014-10,Litoral,1 y 2 estrellas,764,
2014-10,Litoral,3 estrellas/boutiques/aparts,1826,
2014-10,Litoral,4 y 5 estrellas,3651,
2014-10,Litoral,Para Hoteles,1234,
2014-10,Norte,1 y 2 estrellas,799,
2014-10,Norte,3 estrellas/boutiques/aparts,1832,
2014-10,Norte,4 y 5 estrellas,1955,
2014-10,Norte,Para Hoteles,1168,
2014-10,Patagonia,1 y 2 estrellas,1876,
2014-10,Patagonia,3 estrellas/boutiques/aparts,2559,
2014-10,Patagonia,4 y 5 estrellas,3132,
2014-10,Patagonia,Para Hoteles,1725,
2014-11,Buenos Aires,1 y 2 estrellas,798,
2014-11,Buenos Aires,3 estrellas/boutiques/aparts,1655,
2014-11,Buenos Aires,4 y 5 estrellas,1668,
2014-11,Buenos Aires,Para Hoteles,2283,
2014-11,CABA,1 y 2 estrellas,920,
2014-11,CABA,3 estrellas/boutiques/aparts,3634,
2014-11,CABA,4 y 5 estrellas,8440,
2014-11,CABA,Para Hoteles,1498,
2014-11,Córdoba,1 y 2 estrellas,1033,
2014-11,Córdoba,3 estrellas/boutiques/aparts,1211,
2014-11,Córdoba,4 y 5 estrellas,921,
2014-11,Córdoba,Para Hoteles,1548,
2014-11,Cuyo,1 y 2 estrellas,1021,
2014-11,Cuyo,3 estrellas/boutiques/aparts,1871,
2014-11,Cuyo,4 y 5 estrellas,2778,
2014-11,Cuyo,Para Hoteles,754,
2014-11,Litoral,1 y 2 estrellas,800,
2014-11,Litoral,3 estrellas/boutiques/aparts,1873,
2014-11,Litoral,4 y 5 estrellas,3711,
2014-11,Litoral,Para Hoteles,1177,
2014-11,Norte,1 y 2 estrellas,758,
2014-11,Norte,3 estrellas/boutiques/aparts,1640,
2014-11,Norte,4 y 5 estrellas,1985,
2014-11,Norte,Para Hoteles,1084,
2014-11,Patagonia,1 y 2 estrellas,1479,
2014-11,Patagonia,3 estrellas/boutiques/aparts,2766,
2014-11,Patagonia,4 y 5 estrellas,3549,
2014-11,Patagonia,Para Hoteles,1832,
2014-12,Buenos Aires,1 y 2 estrellas,1112,
2014-12,Buenos Aires,3 estrellas/boutiques/aparts,2302,
2014-12,Buenos Aires,4 y 5 estrellas,1958,
2014-12,Buenos Aires,Para Hoteles,2347,
2014-12,CABA,1 y 2 estrellas,905,
2014-12,CABA,3 estrellas/boutiques/aparts,3637,
2014-12,CABA,4 y 5 estrellas,8447,
2014-12,CABA,Para Hoteles,1412,
2014-12,Córdoba,1 y 2 estrellas,1075,
2014-12,Córdoba,3 estrellas/boutiques/aparts,1247,
2014-12,Córdoba,4 y 5 estrellas,907,
2014-12,Córdoba,Para Hoteles,1459,
2014-12,Cuyo,1 y 2 estrellas,945,
2014-12,Cuyo,3 estrellas/boutiques/aparts,1760,
2014-12,Cuyo,4 y 5 estrellas,2820,
2014-12,Cuyo,Para Hoteles,778,
2014-12,Litoral,1 y 2 estrellas,773,
2014-12,Litoral,3 estrellas/boutiques/aparts,1888,
2014-12,Litoral,4 y 5 estrellas,3720,
2014-12,Litoral,Para Hoteles,1178,
2014-12,Norte,1 y 2 estrellas,697,
2014-12,Norte,3 estrellas/boutiques/aparts,1627,
2014-12,Norte,4 y 5 estrellas,1849,
2014-12,Norte,Para Hoteles,947,
2014-12,Patagonia,1 y 2 estrellas,1714,
2014-12,Patagonia,3 estrellas/boutiques/aparts,2680,
2014-12,Patagonia,4 y 5 estrellas,3416,
2014-12,Patagonia,Para Hoteles,1957,
2015-01,Buenos Aires,1 y 2 estrellas,2313,
2015-01,Buenos Aires,3 estrellas/boutiques/aparts,3240,
2015-01,Buenos Aires,4 y 5 estrellas,2273,
2015-01,Buenos Aires,Para Hoteles,3516,
2015-01,CABA,1 y 2 estrellas,895,
2015-01,CABA,3 estrellas/boutiques/aparts,3542,
2015-01,CABA,4 y 5 estrellas,8373,
2015-01,CABA,Para Hoteles,1494,
2015-01,Córdoba,1 y 2 estrellas,1524,
2015-01,Córdoba,3 estrellas/boutiques/aparts,1240,
2015-01,Córdoba,4 y 5 estrellas,934,
2015-01,Córdoba,Para Hoteles,2131,
2015-01,Cuyo,1 y 2 estrellas,958,
2015-01,Cuyo,3 estrellas/boutiques/aparts,1801,
2015-01,Cuyo,4 y 5 estrellas,2788,
2015-01,Cuyo,Para Hoteles,902,
2015-01,Litoral,1 y 2 estrellas,846,
2015-01,Litoral,3 estrellas/boutiques/aparts,1888,
2015-01,Litoral,4 y 5 estrellas,3584,
2015-01,Litoral,Para Hoteles,1288,
2015-01,Norte,1 y 2 estrellas,781,
2015-01,Norte,3 estrellas/boutiques/aparts,1550,
2015-01,Norte,4 y 5 estrellas,2179,
2015-01,Norte,Para Hoteles,1270,
2015-01,Patagonia,1 y 2 estrellas,1814,
2015-01,Patagonia,3 estrellas/boutiques/aparts,3075,
2015-01,Patagonia,4 y 5 estrellas,3840,
2015-01,Patagonia,Para Hoteles,2749,
2015-02,Buenos Aires,1 y 2 estrellas,2161,
2015-02,Buenos Aires,3 estrellas/boutiques/aparts,3489,
2015-02,Buenos Aires,4 y 5 estrellas,2133,
2015-02,Buenos Aires,Para Hoteles,3511,
2015-02,CABA,1 y 2 estrellas,908,
2015-02,CABA,3 estrellas/boutiques/aparts,3583,
2015-02,CABA,4 y 5 estrellas,8327,
2015-02,CABA,Para Hoteles,1598,
2015-02,Córdoba,1 y 2 estrellas,1447,
2015-02,Córdoba,3 estrellas/boutiques/aparts,1249,
2015-02,Córdoba,4 y 5 estrellas,933,
2015-02,Córdoba,Para Hoteles,2153,
2015-02,Cuyo,1 y 2 estrellas,1019,
2015-02,Cuyo,3 estrellas/boutiques/aparts,2024,
2015-02,Cuyo,4 y 5 estrellas,2731,
2015-02,Cuyo,Para Hoteles,842,
2015-02,Litoral,1 y 2 estrellas,801,
2015-02,Litoral,3 estrellas/boutiques/aparts,1887,
2015-02,Litoral,4 y 5 estrellas,3596,
2015-02,Litoral,Para Hoteles,1379,
2015-02,Norte,1 y 2 estrellas,752,
2015-02,Norte,3 estrellas/boutiques/aparts,1508,
2015-02,Norte,4 y 5 estrellas,2233,
2015-02,Norte,Para Hoteles,1300,
2015-02,Patagonia,1 y 2 estrellas,1777,
2015-02,Patagonia,3 estrellas/boutiques/aparts,3050,
2015-02,Patagonia,4 y 5 estrellas,3944,
2015-02,Patagonia,Para Hoteles,2627,
2015-03,Buenos Aires,1 y 2 estrellas,1168,
2015-03,Buenos Aires,3 estrellas/boutiques/aparts,2399,
2015-03,Buenos Aires,4 y 5 estrellas,1736,
2015-03,Buenos Aires,Para Hoteles,2374,
