indice_tiempo,region_de_destino,categoria_del_hotel,puestos_de_trabajo_equivalentes,observaciones
2012-04,Norte,4 y 5 estrellas,1557,
2012-04,Norte,Para Hoteles,1396,
2012-04,Patagonia,1 y 2 estrellas,1295,
2012-04,Patagonia,3 estrellas/boutiques/aparts,2485,
2012-04,Patagonia,4 y 5 estrellas,2957,
2012-04,Patagonia,Para Hoteles,2120,
2012-05,Buenos Aires,1 y 2 estrellas,999,
2012-05,Buenos Aires,3 estrellas/boutiques/aparts,1769,
2012-05,Buenos Aires,4 y 5 estrellas,1400,
2012-05,Buenos Aires,Para Hoteles,2364,
2012-05,CABA,1 y 2 estrellas,990,
2012-05,CABA,3 estrellas/boutiques/aparts,3847,
2012-05,CABA,4 y 5 estrellas,8404,
2012-05,CABA,Para Hoteles,1507,
2012-05,Córdoba,1 y 2 estrellas,1152,
2012-05,Córdoba,3 estrellas/boutiques/aparts,1373,
2012-05,Córdoba,4 y 5 estrellas,847,
2012-05,Córdoba,Para Hoteles,1201,
2012-05,Cuyo,1 y 2 estrellas,952,
2012-05,Cuyo,3 estrellas/boutiques/aparts,1771,
2012-05,Cuyo,4 y 5 estrellas,2537,
2012-05,Cuyo,Para Hoteles,836,
2012-05,Litoral,1 y 2 estrellas,833,
2012-05,Litoral,3 estrellas/boutiques/aparts,1986,
2012-05,Litoral,4 y 5 estrellas,3162,
2012-05,Litoral,Para Hoteles,1694,
2012-05,Norte,1 y 2 estrellas,885,
2012-05,Norte,3 estrellas/boutiques/aparts,1770,
2012-05,Norte,4 y 5 estrellas,1558,
2012-05,Norte,Para Hoteles,1332,
2012-05,Patagonia,1 y 2 estrellas,1278,
2012-05,Patagonia,3 estrellas/boutiques/aparts,2208,
2012-05,Patagonia,4 y 5 estrellas,2607,
2012-05,Patagonia,Para Hoteles,1541,
2012-06,Buenos Aires,1 y 2 estrellas,1006,
2012-06,Buenos Aires,3 estrellas/boutiques/aparts,1630,
2012-06,Buenos Aires,4 y 5 estrellas,1346,
2012-06,Buenos Aires,Para Hoteles,2092,
2012-06,CABA,1 y 2 estrellas,994,
2012-06,CABA,3 estrellas/boutiques/aparts,3813,
2012-06,CABA,4 y 5 estrellas,8361,
2012-06,CABA,Para Hoteles,1548,
2012-06,Córdoba,1 y 2 estrellas,1114,
2012-06,Córdoba,3 estrellas/boutiques/aparts,1282,
2012-06,Córdoba,4 y 5 estrellas,843,
2012-06,Córdoba,Para Hoteles,1068,
2012-06,Cuyo,1 y 2 estrellas,954,
2012-06,Cuyo,3 estrellas/boutiques/aparts,1754,
2012-06,Cuyo,4 y 5 estrellas,2631,
2012-06,Cuyo,Para Hoteles,782,
2012-06,Litoral,1 y 2 estrellas,849,
2012-06,Litoral,3 estrellas/boutiques/aparts,1906,
2012-06,Litoral,4 y 5 estrellas,3386,
2012-06,Litoral,Para Hoteles,1520,
2012-06,Norte,1 y 2 estrellas,950,
2012-06,Norte,3 estrellas/boutiques/aparts,1814,
2012-06,Norte,4 y 5 estrellas,1566,
2012-06,Norte,Para Hoteles,1268,
2012-06,Patagonia,1 y 2 estrellas,1663,
2012-06,Patagonia,3 estrellas/boutiques/aparts,2324,
2012-06,Patagonia,4 y 5 estrellas,2558,
2012-06,Patagonia,Para Hoteles,1694,
2012-07,Buenos Aires,1 y 2 estrellas,903,
2012-07,Buenos Aires,3 estrellas/boutiques/aparts,1939,
2012-07,Buenos Aires,4 y 5 estrellas,1364,
2012-07,Buenos Aires,Para Hoteles,2383,
2012-07,CABA,1 y 2 estrellas,1007,
2012-07,CABA,3 estrellas/boutiques/aparts,3808,
2012-07,CABA,4 y 5 estrellas,8360,
2012-07,CABA,Para Hoteles,1559,
2012-07,Córdoba,1 y 2 estrellas,1249,
2012-07,Córdoba,3 estrellas/boutiques/aparts,1527,
2012-07,Córdoba,4 y 5 estrellas,848,
2012-07,Córdoba,Para Hoteles,1569,
2012-07,Cuyo,1 y 2 estrellas,1024,
2012-07,Cuyo,3 estrellas/boutiques/aparts,1803,
2012-07,Cuyo,4 y 5 estrellas,2802,
2012-07,Cuyo,Para Hoteles,854,
2012-07,Litoral,1 y 2 estrellas,774,
2012-07,Litoral,3 estrellas/boutiques/aparts,1943,
2012-07,Litoral,4 y 5 estrellas,3075,
2012-07,Litoral,Para Hoteles,1570,
2012-07,Norte,1 y 2 estrellas,1204,
2012-07,Norte,3 estrellas/boutiques/aparts,2045,
2012-07,Norte,4 y 5 estrellas,1697,
2012-07,Norte,Para Hoteles,1465,
2012-07,Patagonia,1 y 2 estrellas,1969,
2012-07,Patagonia,3 estrellas/boutiques/aparts,2703,
2012-07,Patagonia,4 y 5 estrellas,2858,
2012-07,Patagonia,Para Hoteles,2128,
2012-08,Buenos Aires,1 y 2 estrellas,939,
2012-08,Buenos Aires,3 estrellas/boutiques/aparts,1815,
2012-08,Buenos Aires,4 y 5 estrellas,1344,
